Manzara sahane evet ama servis rezalet.	SERVICE#GENERAL AMBIENCE#GENERAL
Seyir terasi - Istanbul'u seyretmenin en çok keyif verdigi yerlerden biridir.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Manzarasi sakinlestirir ve huzur verir.	AMBIENCE#GENERAL
Personel ilgilidir.	SERVICE#GENERAL
Burada kendinizi kötü hissetmezsiniz ve mutlu ayrilirsiniz.	RESTAURANT#GENERAL
Lezzetli yemekler, rahat ortam ve uygun fiyatlar.	RESTAURANT#PRICES FOOD#QUALITY AMBIENCE#GENERAL
Tek sorunu ulaşımı birazcık sıkıntılı.	LOCATION#GENERAL
Özel aracımızla nereden gireceğimizi pek kestiremedik ancak 10 dakikalık bir çaba sonununda mekana ulaştık.	LOCATION#GENERAL
Yemeğin ardından cafe ortamına devam edebilirsiniz.	AMBIENCE#GENERAL
Aynı zamanda Tavla, okey gibi oyunları da oynayabileceğiniz bölümleri var.	RESTAURANT#GENERAL
Gayet kullanışlı ve uygun.	RESTAURANT#GENERAL
Yazın daha da güzel olan mekan.	RESTAURANT#GENERAL
en sevdıgım big chef şubesi arkadaşlarınızla keyifli zaman geçireceğiniz bu mekan göksunun incisi tekrar gidiceğinizden emin olabilirsiniz	RESTAURANT#GENERAL
Manzaradan kurtaran bir mekan.	AMBIENCE#GENERAL RESTAURANT#GENERAL
Pek sevmedim acikcasi.	RESTAURANT#GENERAL
Kofteleri de cok cok mukemmel degil.	FOOD#QUALITY
Idare eder denilebilir.	RESTAURANT#GENERAL
Guler yuz yok.	SERVICE#GENERAL
Gurultulu ve aksam saatlerinde oldukca kalabalik oluyor.	AMBIENCE#GENERAL
Oturduğunuz sürece sürekli patlamış mısır getiriyorlar.	SERVICE#GENERAL
Durmazsanız bir saat içinde yaklaşık 10 kase falan yiyebilirsiniz.	FOOD#STYLE_OPTIONS
Ayrıca en son Premier League maçlarını da veriyorlardı.	SERVICE#GENERAL
Kuru fasulyenin lezzetine diyecek söz yok, fiyatlar da makul sayılır ancak mekan düğün salonundan bozma.	AMBIENCE#GENERAL FOOD#QUALITY RESTAURANT#PRICES
En nihayetinde kuru fasulyeci ancak ortam daha zevkli hale getirilebilir.	AMBIENCE#GENERAL
Mekanin konumu çok muhtesem konsept, hizmet ve ürünler vasat.	FOOD#QUALITY LOCATION#GENERAL SERVICE#GENERAL
- Anadolu hisarinda bir tarafi Göksu Deresi diger tarafi Istanbul Bogazinin akip giden masmavi sulari ama hepsi bu kadar.	LOCATION#GENERAL RESTAURANT#GENERAL
Ben farkli zamanlarda gittim ama mekanin kimligi enerjisi bana hitap etmiyor...	RESTAURANT#GENERAL
Mutlaka müdavimleri vardir ama beni çekmiyor.	RESTAURANT#GENERAL
Ama bu mekan iyi bir isletmeci ile söyle iyi bir sekilde elden geçse çok iyi isler çikar buradan...	RESTAURANT#GENERAL SERVICE#GENERAL
Konum olarak aslinda çok güzel bir yerde.	LOCATION#GENERAL
Belki mekanin üst kisminda otursaydik büyük bir ihtimal manzarada vardir ama biz maalesef otoparkta oturdugumuz için arabadan ve agaçtan bir sey göremedik.	AMBIENCE#GENERAL
Sanirim ramazana özel bir uygulamaydi bu otoparkta masa.	AMBIENCE#GENERAL
Eger gidecekseniz özellikle mekanin üst katlarinda olmasini isteyin.	AMBIENCE#GENERAL
Lezzet konusunda da aman aman bir lezzeti yoktu.	FOOD#QUALITY
Manzarasi için giderim diyorsaniz denenebilir.	AMBIENCE#GENERAL
Içi gayet sikici, kredi karti geçerli olmayan, çorbayi kase yerine düz tabakta servis eden, personeli asik suratli, etlerin sadece bir parça olarak geldigi ve neden bu kadar meshur oldugunu anlayamadigim gereksiz bir yer.	AMBIENCE#GENERAL RESTAURANT#GENERAL SERVICE#GENERAL FOOD#STYLE_OPTIONS
Son derece kotu servis, anlatilamayacak kadar hizmet sekorunden uzak, baska bir dunyada personel.	SERVICE#GENERAL SERVICE#GENERAL
Bir kebapci icin olmazsa olmaz olan iyi servis ve guleryuzlu ilgili personeli burda hayal bile etmeyin.	SERVICE#GENERAL SERVICE#GENERAL
Servis de personel de koca bir "0"	SERVICE#GENERAL SERVICE#GENERAL
servis yavastu .	SERVICE#GENERAL
garson a nie yavas oldugunu sordugumda 500 kisi var normaldir cvbini aldim.	SERVICE#GENERAL
marifet bes yuz kisi almakta degil bunlar :	
hizli sunabilmekte...	
kesinlikle tercih etmicem bi daha	RESTAURANT#GENERAL
normal - Pizzalari yeterince ince ama spesifik bir tadi eksik,mekan olarakta cok ozel olmadigindan gidilmesine gerek olmayan bir yer kanimca.	AMBIENCE#GENERAL FOOD#QUALITY
Rezalet otesi bir mekan.	RESTAURANT#GENERAL
Cok kaba saba garsonlari ve hizmeti olan dandik bir mekan.	SERVICE#GENERAL RESTAURANT#GENERAL
Manzarasi disinda tirt, sunumu da berbat gercekten.	SERVICE#GENERAL RESTAURANT#GENERAL AMBIENCE#GENERAL
Tatli yemek istedik kalkin baska yere oturun dedi terbiyesizler.	SERVICE#GENERAL
Tevazuya gerek yok abartı da değil.	RESTAURANT#GENERAL
İstanbulun en iyi dönerini yapıyorlar.	FOOD#QUALITY
Kaliteli lezzeti zaten biz değerlendiremeyiz.	
Ancak servis harika 250 kişilik dükkanda herkese yetişiyorlar.	SERVICE#GENERAL
Dönerin yanındaki patates, salata bile süper.	FOOD#QUALITY
Havuç dilimi tatlı da denenebilir.	FOOD#QUALITY
Tek eksik ayranı kendilerinin yapmaması.	DRINKS#STYLE_OPTIONS
Böyle bir yer için el yapımı ayran şart.	DRINKS#STYLE_OPTIONS
Mekan çok güzel, menüde 10larca seçenek var ama malesef yemekler lezzetli değil.	FOOD#STYLE_OPTIONS AMBIENCE#GENERAL FOOD#QUALITY
Tüm puanı mekan hakediyor.	RESTAURANT#GENERAL AMBIENCE#GENERAL
Kahve içmek isterseniz güzel bir tercih ama yemek yemek için aynı şeyi söyleyemeyeceğim	FOOD#QUALITY DRINKS#QUALITY
Büyük porsiyonlar anca bir normal porsiyon olduğunda küçük pizzalari tavsiye edemem.	FOOD#STYLE_OPTIONS
Anca atıştırmalik olur.	
Ortam olarak baya küçük bir dükkân ve ortaköye uygun.	AMBIENCE#GENERAL
Hamur biraz fazla inceydi ve peynir daha bol olabilir.	FOOD#STYLE_OPTIONS FOOD#STYLE_OPTIONS
Domates sosu malesef çok zayif kaldi ve pizzanin seviyesini düşürüyor.	FOOD#STYLE_OPTIONS FOOD#QUALITY
Fiyatlar orta ile yüksek arasi.	RESTAURANT#PRICES
Kendi biralarını çoğunluğun aksine pek beğenmedim, hatta ilk defa bir birayı bitiremedim.	DRINKS#QUALITY
Biraz boğucu bir mekan, haftasonlari özellikle çok kalabalık oluyor.	AMBIENCE#GENERAL
Kalabalığın içinde hiç beklenmeyecek kadar ferah ve güzel bir mekan.	AMBIENCE#GENERAL
Bunun dışında, her ne kadar çoğu zaman talebi karşılamasa da sundukları bira menüsü burayı çok çekici kılıyor.	RESTAURANT#GENERAL DRINKS#STYLE_OPTIONS
Yemekleri de çeşit konusunda çok zengin değil ama lezzetli.	FOOD#STYLE_OPTIONS FOOD#QUALITY
Denediklerimizden, Tavuk Schnitzel mükemmel, Tavuklu Wrap harikaydı!	FOOD#QUALITY FOOD#QUALITY
Bir de çeşitli homemade ice tea ve limonataları gerçekten başarılı :	DRINKS#QUALITY
Etleri mezeleri basarili ama porsiyonlar inanilmaz buyuk.	FOOD#QUALITY FOOD#STYLE_OPTIONS
3 kisi 2 kisi icin getirdiklerini rahatlikla yiyebilir.	FOOD#STYLE_OPTIONS
3 gidip 2 kisilik getirin derseniz yiyecekler bu sekilde geliyor ama kisi basina 70tl yaziyorlar cok sacma olmus	FOOD#PRICES
5 çayının ideal adresi karaköy'de dem.	RESTAURANT#GENERAL
50'den fazla çay çeşidi ile damak zevkinizi bi yerde yakalayacağı kesin!	DRINKS#STYLE_OPTIONS
Benim tavsiyem vanilya aromalı bourban vanilla, tatlı ihtiyacınız içinse damla sakızlı mastika keki.	DRINKS#QUALITY FOOD#QUALITY
Hizmet, ilgi alaka herşey şahane!	SERVICE#GENERAL
iyi ki gittim de yedim dediğim bir şey yok.	FOOD#QUALITY
hatta aynı şeyleri yediğim diğer güllüoğlu şubeleri bence daha taze ve lezzetliydi.	
oturma yeri de çok yok.	AMBIENCE#GENERAL
bu kadar meşhur olması bana garip geldi açıkçası.	RESTAURANT#GENERAL
Manzara severlere...	AMBIENCE#GENERAL
- O manzaraya bu yemekler, bu servis olmamis :	AMBIENCE#GENERAL FOOD#QUALITY SERVICE#GENERAL
(( Üstelik fiyatlarda, yemeklerine nazaran uygun degil.	FOOD#PRICES FOOD#QUALITY
Yemekleri için giderseniz memnuniyetsiz ayrilabilirsiniz; ama manzara seviyorsaniz kesin gidilmeli.	AMBIENCE#GENERAL FOOD#QUALITY
Hele de Istanbul hayraniysaniz, iste o zaman hiç tereddüt etmeyin...	
Kadiköy'de gitmekten zevk aldığım mekanlardan birtanesi.	RESTAURANT#GENERAL
English pub tarzında dekorasyona sahip, bira çeşitliliği fazla olan tarz bir mekan.	AMBIENCE#GENERAL AMBIENCE#GENERAL DRINKS#STYLE_OPTIONS
Yemek olarak schinitzel ve burger denedik, biranın yanında iyi gitti.	FOOD#QUALITY
Kış aylarında içeride oturmanızı öneririm dekorasyon ve ortam keyif veriyor...	AMBIENCE#GENERAL
Maç günleri rez.	
yaptırsanız iyi olur.	
Dekorasyonu renkleri cok sicak ve sevimli.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Ev yemeği yemek isteyenler için ideal bur mekan tek bir şartla ne yiyecegini bilmen lazım çünkü hersey cok lezzetli degil.	FOOD#QUALITY FOOD#QUALITY
Servis yavas, çalışanların birbirleriyle diyaloglarıni da pek sevmedim.	SERVICE#GENERAL SERVICE#GENERAL
Mekan kalabalık olduğunda stres kontrolu diye bişey kalmiyor sanirim.	SERVICE#GENERAL
İstanbul şubesi çokta güzel değil çaldıkları müzikler hard rock'tan çok popüler olmuş.	AMBIENCE#GENERAL RESTAURANT#GENERAL
Aynı konsept servisi güzel ama diğerleriyle kıyaslandığında biraz vadat ve taksim için pahalı	
Arka bahçesi tüm yorgunluğunu alıyor insanın.	AMBIENCE#GENERAL
Koşuyolunun en iyilerinden kirpi en çok diyet yapanların sevdiği bir mekan çünkü menüsü sağlıklı beslenmeye uygun.	FOOD#STYLE_OPTIONS RESTAURANT#GENERAL
Masa yerlesimleri pek guzel degil oturma duzeni olmamis.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Yer bulmak da zor oluyor.	SERVICE#GENERAL
Cok cesitli caylar var ancak fiyatlari biraz yuksek.	DRINKS#PRICES DRINKS#STYLE_OPTIONS
İngiliz cayi istedigimde sut getirmediler gerekce olarak da kotu oldugunh soylediler garson tersledi hatta	SERVICE#GENERAL
Kurufasülye ne kadar değişik olabilir demeyin Bizce Kuru'da yediğim kurufasulyeden gelen hafif şekerli tat beni kendine hayran bıraktı resmen.	FOOD#QUALITY FOOD#QUALITY
Tereyağlı pilavları ve tava yoğurdu da çok başarılı.	FOOD#QUALITY FOOD#QUALITY
Üzerine bal ve fındık dökülmüş sütlaçları çok cezbedici gözükse de sütlaç tadını alamadım daha çok muhallebi gibiydi.	FOOD#QUALITY FOOD#STYLE_OPTIONS
Ayrıca hergun çıkardıkları farklı zeytinyağlı yemekleri de çok başarılı.	FOOD#QUALITY
Fiyatlar ortalamanın biraz ustunde malesef.	RESTAURANT#PRICES
Ogle yumegi zaman roll sushi menu var.	
33TL acaba icecek icinde.	
Biraz once gittim .	
Ama fiyat degisti olabilir.	
Serviste cok guzel.	SERVICE#GENERAL
Ortam cok guzel.	AMBIENCE#GENERAL
Lezzetliydi.	FOOD#QUALITY
En beğendigimiz sushico şubesi.	RESTAURANT#GENERAL
Bahçesi çok güzel ve ferah.	AMBIENCE#GENERAL
Sushi ustasi cok becerikli ve şakaci :	SERVICE#GENERAL
) yogun oldugu saatlerde servis biraz aksak olsa da kabul edilebilir buluyoruz	SERVICE#GENERAL
Menü çeşitleri zengin.	FOOD#STYLE_OPTIONS
Fiyatları normalin biraz üstünde ama yinede caddedeki yorgunluğu atmanız için ferah ferah oturabileceğiniz mekan.	AMBIENCE#GENERAL RESTAURANT#PRICES
Muhallebici ama...	
- Herkesin muhallebisini ya da süt tatlilari yedigi yerin ben künefesini begeniyorum.	FOOD#QUALITY
Geçen sene haftada bir künefe yemege giderdim.	
Favorilerim biçak arasi ve saç arasi ama tavuk sis ve diger ekmeklerde (kasarli ve kiymali) çok basarili.	FOOD#QUALITY FOOD#QUALITY FOOD#QUALITY FOOD#QUALITY
Konyada yemedim ama yiyenlerinde begendigi bir mekan.	RESTAURANT#GENERAL
Servis iyi olmadigindan michelin yildizli yemek yapsalar gözüme görünmüyor.	SERVICE#GENERAL
35 derece yaz sicaginda buzdolaplari bozuk diye sicak kola getirdiler bu sefer de.	DRINKS#QUALITY
Buradan içeri girersiniz karşılamasından tutunda etten önce gelen kuverdeki turşuya kadar hepsi özenle seçilmiş hazırlanmış mekanın ve tatların içinde gezer durursunuz.	FOOD#QUALITY RESTAURANT#GENERAL
Et menüsünden istediğinizi seçebilirsiniz hepsi olabileceğinin en iyisidir .	FOOD#QUALITY
Tatlılar da bir o kadar harikadır.	FOOD#QUALITY
Mekanın sahibi Beyti Bey her oraya gidişinizde masanıza uğrayıp selam verir.	SERVICE#GENERAL
Söylenecek daha da birşey yok kesinlikle güzel yemek yemek istiyor ve risk almak istemiyorsanız bana kalırsa Beyti'den iyisi yoktur !	FOOD#QUALITY
Özellikle yabancı misafirlerinizi ağırlamak için osmanlı tarzı dekorasyonu ve akıl almaz lezzetleri sayesinde türk mutfağını tanıtmak için çok uygun...	FOOD#QUALITY AMBIENCE#GENERAL
Servis kotu, mekan fazla aydinlik ve gurultulu.	AMBIENCE#GENERAL SERVICE#GENERAL
Garsonlarin ilgisizligi cabasi.	SERVICE#GENERAL
Yemekler soguk ve gec geliyor.	FOOD#QUALITY SERVICE#GENERAL
Tek guzelligi Marina manzarasi.	AMBIENCE#GENERAL
Bide Cikolatali Karayip katlarini met etmeden yapamiycam.	FOOD#QUALITY
İstikrarli.	RESTAURANT#GENERAL
- Her gittigimde bir öncekinden daha kötü susi yapmayi nasil yapmayi beceriyorlar?	FOOD#QUALITY
So so - Çok bir sey beklemeyin, Quick China kadar iyi degil.	
Bu akimin öncülerinden; ancak Quick China bence Sushico'yu solladi.	
Sushiler gene basarili; ama yemekler ciddi anlamda bozuldu.	FOOD#QUALITY FOOD#QUALITY
Sanirim ahçi isten ayrildi.	
Cok guzel hepsi birbirinden guzel yemeklerinizz ve lezzetli sonrasinda.	FOOD#QUALITY
Garsonlarin servis sunumunda hersey dört dört lük.	SERVICE#GENERAL
Tesekkur ediyorum.	RESTAURANT#GENERAL
Calisanlara ve sizlere.	
Cem Boyraz	
Tavsiye bicak arasi yemeniz .	FOOD#QUALITY
Masanin bir ucundan diger ucuna kadar uzaniyir konya mutfagindan farkli lezzetler deneyin fiyatlar uygun geldi .	FOOD#STYLE_OPTIONS
Çikolatalı Saray muhallebisi , krem karamel ve ayva tatlısından tabaklarca yiyebilirim.	FOOD#QUALITY FOOD#QUALITY FOOD#QUALITY
Bu konuda onların eline kolay kolay kimse su süremez.	RESTAURANT#GENERAL
Çok açsanız pilav üstü döneri deneminizi tavsiye ederim.	FOOD#QUALITY
Sadece teras katı oturulabilir olan bi şubesi.	AMBIENCE#GENERAL
Diğer katlara pekte gerek yokmuş.	RESTAURANT#GENERAL
Çalışanlar oldukca ilgili alakalı .	SERVICE#GENERAL
fiyatlar aynı yani normal .	RESTAURANT#PRICES
teras katında tatlınızı yiyip çayınızı yudumlayabilirsiniz.	AMBIENCE#GENERAL
Denemek lazim - Ögle arasinda is yerinden arkadaslar ile gittik.	RESTAURANT#GENERAL
Biçak arasi iyi, saç arasi mükemmel, garsonlar ilgisiz ve fiyatlar uçmus.	FOOD#PRICES FOOD#QUALITY FOOD#QUALITY SERVICE#GENERAL
Ama gene de gitmek lazim.	RESTAURANT#GENERAL
Etli ekmeğinin Konya'daki mekanlardan bile daha lezzetli olduğunu düşündüğüm mekan/dı.	FOOD#QUALITY
Başakşehir şubesi açıldığından beri o eski Ovalı değil.	RESTAURANT#GENERAL
Başakşehir'deki açık ara daha iyi.	
mekanın yeri çok güzel.	LOCATION#GENERAL
çalışanları kibar.	SERVICE#GENERAL
lezzetine güvenebileceğiniz bir zincir zaten.	FOOD#QUALITY
deniz ürünleri salatası çok lezzetli.	FOOD#QUALITY
ahtapot, karides, kalamar, somon füme ; ne ararsanız var içinde.	FOOD#STYLE_OPTIONS
sağlıklı ve hafif.	FOOD#QUALITY
Toplantı için Kalkıp Florya Lara kadar gidip beklentiye bağlı olarak hayal kırıklığı yaratan mekan.	RESTAURANT#GENERAL
Dışarıdan lüks gibi görünse de artık tarihi geçmiş mekan görüntüsü vermekte ve içerideki aksesuarlar göz yormakta.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Yemeklere gelince döner tatsız tuzsuz, et köfte Pınar'ın et köftesinden daha kötü, kırmızı et hafifçe sert ve keyifsizdi.	FOOD#QUALITY FOOD#QUALITY FOOD#QUALITY
Belki künefe iyidir diye düşünürken künefenin peynirden yoksun olması hayal kırıklığımızı üst seviyeye çıkardı.	FOOD#QUALITY
Illa kebap yemek istiyorsanız başka tercihlere yönelin derim...	FOOD#QUALITY
Uzun zamandir gitmemistim ve iyi ki gitmemisim.	RESTAURANT#GENERAL
Gercekten lahmacunu tavugu berbatti ve gelen hesap 2 kisi 169tl.	FOOD#QUALITY FOOD#PRICES
Hic tavsiye etmiyorum , design deseniz zaten ic karartici ve demode	AMBIENCE#GENERAL
100 lira fix menuye gittik 8 kisi 1600 tl odedik 1 buyuk raki ictik toplamda.	RESTAURANT#PRICES
kahve ve caylar 200 tl tutmus heryerde cay ikramdir hemde 1600 tl hesap verene uzak durun	DRINKS#PRICES
Eğer deniz kenarında yer bulabilirseniz oturumu çok keyifli.	AMBIENCE#GENERAL
Mekan çok büyük olduğu için personel yetişemiyo ve servis sürekli aksıyor.	SERVICE#GENERAL SERVICE#GENERAL
Yemekleri gayet güzel	FOOD#QUALITY
İftar servisini çok zayıf bulduk.	SERVICE#GENERAL
500 kişiye kaliteli servis verilemiyorsa 300 kişiye daha iyi şartlar sağlanabilir diye düşünüyorum.	SERVICE#GENERAL
Ramazanda tavsiye etmiyorum.	RESTAURANT#GENERAL
Bana sushiyi sevdiren tek yer diyebilirim çalışanları o kadar güler yüzlü ki.	SERVICE#GENERAL
Bu fiyata böyle bir memnuniyet çok az rastlanacak şey .	RESTAURANT#PRICES
Mekan hiç boğucu degil gayet güzel	AMBIENCE#GENERAL
Akrabalar bizi goturdu.	
Burasi turkiyedeki eti restoran olarak mukenmel restorant biriymis.	
Tabi ki et yemekler hepsi cok harika.	FOOD#QUALITY
Tarihi bina da begendim.	AMBIENCE#GENERAL
Tereyağlı Mercimek Çorbası ve Bıçak arası muhteşem ikili diyebilirim.	FOOD#QUALITY FOOD#QUALITY
Her Şubesi'nde aynı kaliteyi yakalamışlar.	RESTAURANT#GENERAL
Sadece döner olayını pek yapamıyorlar.	FOOD#QUALITY
Servis saatlerinde bolca kalabalik olan ilgili bir mekan ambiyans olarak farkli bir lezzet tadacaginizi size bildiriyor.	AMBIENCE#GENERAL
Farkli tatlar icin dusunulebilinir.	FOOD#STYLE_OPTIONS
Tavuklarin iri dogranmis olmasi pek hos degil.	FOOD#STYLE_OPTIONS
Pilavda su tadi aliyorsunuz.	FOOD#QUALITY
Bir de üstüne 9,5 TL veriyorsunuz.	RESTAURANT#PRICES
Afiyet oldu mu simdi bana :	
Tercih etmem - Pazar günü kahvalti için gittim.	FOOD#QUALITY
Daha önce Nisantasi'nda ki subeye gitmistim ve inanilmaz güzel kahvalti etmistim ve memnun kalmistim.	FOOD#QUALITY
Ama bu sefer Beyoglu'nda ki subede hiç memnun kalmadim.	RESTAURANT#GENERAL
Manzarasi yat limani Garsonlari ilgi alakali ozellikle Ege bey.	SERVICE#GENERAL
Ancak fiyatlar ile yemek karsilastirmasi bence uyumsuz yuksek standartlar icermekte Ayni mekanda daha çok çeşit var İsim satıyor birazz Dikkat !	FOOD#PRICES
Konumu, manzarası, lezzeti şahane...	FOOD#QUALITY AMBIENCE#GENERAL LOCATION#GENERAL
Bir arkadaşımın ısrarı ile lahmacun yemiştim ki benim yediğim en güzel lahmacundu...	FOOD#QUALITY
Kebapları zaten muazzam :	FOOD#QUALITY
Yani en basitinden en zoruna...	
Hepsi harika...	RESTAURANT#GENERAL
Ayrıca sigara içmeyenlerin dostu olması dolayısıyla bu mekan benim en favorilerimden :	RESTAURANT#MISCELLANEOUS
Bu mekan newyorkta olsa yemek yemek için bir sene önceden rezervasyon yaptırmak gerekirdi.	
Pırıl pırıl salonlar Güler yüzlü ve temiz garsonlar.	AMBIENCE#GENERAL SERVICE#GENERAL
Etler için yoruma gerek yok.	FOOD#QUALITY
Özellikle favorim bakır kapta gelen kuzu kol , bunu bu şekilde başka yerde yemeniz olanaksız.	FOOD#QUALITY
zeytinyağlılar süper özellikle imambayıldı titretiyor insanı,alkol içmeyecekseniz mukakkak koyu ayranı içmenizi tavsiye ederim.	DRINKS#QUALITY FOOD#QUALITY FOOD#QUALITY
İş fiyatlara gelince öyle bir mekan için normal fakat beyti kalitesinde Avrupa veya Amerika'da yer iseniz 3 kat fazlasını ödemek zorundasınız.	RESTAURANT#PRICES
Mahalle lokantasi - Yillardan beri Sushico Nisantasi'nda.	
Ara sira gidilebilecek bir lokanta.	RESTAURANT#GENERAL
Susileri belli bir seviyede her zaman, asagi düsmüyor.	FOOD#QUALITY
Çin yemekleri de fena degil.	FOOD#QUALITY
sabahları börekleri.	
öğle ve akşam yemekleriyle her şubesinde aynı kaliteyi yakalamış mekan.	FOOD#QUALITY
tatlılarını övmeye gerek bile görmüyorum.	FOOD#QUALITY
yazın dondurması da denenmeli.	FOOD#QUALITY
Sütlü tatlilari mükemmel diyebilirim.	FOOD#QUALITY
Çayi güzel.	DRINKS#QUALITY
Döneri çogu insan tarafindan sevilmese de ben seviyorum.	FOOD#QUALITY
Ama iskenderi güzel degil.	FOOD#QUALITY
Sos isini beceremiyorlar.	FOOD#QUALITY
Yanindaki yogurt güzel ama.	FOOD#QUALITY
Bazen gereksiz derecede çok kalabalik olabiliyor.	AMBIENCE#GENERAL
Kebap ve Et restoranları aleminde sıkça karşılaşılan lezzet ve ambiyans paradoksunu çözmüş bir mekan.	AMBIENCE#GENERAL FOOD#QUALITY
Lahmacun ve içliköfte iyi fakat dolmaları Antep usulünde İstanbul'da yediklerim arasında en iyilerdendi.	FOOD#QUALITY FOOD#QUALITY
Etler malzeme, marinasyon, pişirme ve sunum açısından çok başarılı.	FOOD#QUALITY FOOD#STYLE_OPTIONS
Özellikle fıstıklı kebap favorim.	FOOD#QUALITY
Katmer de muazzam.	FOOD#QUALITY
Ambiyans ve dekorasyon titizlikle tasarlanmış olan bu mekanda menüye bağlı kalmayatak tamamen sizin isteklerinize göre sipariş verebiliyorsunuz.	AMBIENCE#GENERAL FOOD#STYLE_OPTIONS
Manzara süper,yemekler fena değil ama porsiyon miktarı çook çook azz o fiyatı kesinlikle haketmiyor.	AMBIENCE#GENERAL FOOD#QUALITY FOOD#STYLE_OPTIONS
happymoons daha iyi daha uygun we porsiyonları çok büyük.	
çok sıcak çok kalabalık denizden koku geliyor yemekleri orta garsonlar ilgisiz kahvaltısı zayıf üzerine gidip Saray dan suböreği yedik otopark ücretsiz diyip ücret alıyor	AMBIENCE#GENERAL SERVICE#GENERAL FOOD#QUALITY FOOD#QUALITY
Çalışanlar kesinlikle çok nezih.	SERVICE#GENERAL
Çayı da güzel yapıyorlar yanına da su böreği .	DRINKS#QUALITY FOOD#QUALITY
Tavsiye ederim.	RESTAURANT#GENERAL
Istiklal Caddesi'ne girdiğinizde solda kalıyor.	LOCATION#GENERAL
Deniz kenarında olan bütün mekanların aurası başka tabi adı birde Fenerbahçe olursa...	AMBIENCE#GENERAL
Açıldığından bu yana buranın keyfini çıkarmayı çok seviyorum.	RESTAURANT#GENERAL
Klasik lezzetler...	FOOD#QUALITY
